Location_Name,Type,Category,Mission,State,State_Hint,Location_ID
Beat Hanya Mask,Story Fight,5,1,37,,683
Daidoji clear,Dungeon Clear,5,1,48,,684
Mizorogi Drone,Story Fight,8,9,9,,685
Ryuji Goda?,Story Fight,5,2,36,,686
Final boss Hotel,Dungeon Clear,5,2,47,,687
Daidoji jump,Story Fight,5,2,55,,688
Nishitani 1,Dungeon Clear,5,3,21,,689
patriarch drones,Story Fight,8,10,7,,690
Nishitani,Dungeon Clear,5,4,44,,691
Film Assistant Needed,Substory,8,29,10,,692
Emergency Request,Substory,8,22,17,,693
Investigation Request,Substory,8,23,8,,694
Vanquish the Red Peacocks,Substory,8,40,21,,695
A Simple Heavy-Lifting Job,Substory,8,34,15,,696
Ghost of Sotenbori,Substory,8,28,18,,697
Seeking Advice,Substory,8,33,11,,698
Recruit Homeless Yamanaka,Substory,8,37,19,,699
The Strongest Convenence Store Clerk,Substory,8,36,11,,700
Liberate the Hammer Man,Substory,8,38,16,,701
Final Showdown Red Peacocks,Substory,8,46,8,,702
The Golden Samurai,Substory,8,42,5,,703
Final Akame Boss,Story Fight,8,19,16,,704
Save the Pro Wrestler,Substory,8,36,10,,705
The Cat-Lovin' Rapper,Substory,8,37,20,,706
The Struggling Host,Substory,8,38,17,,707
Vanquish the White Knights,Substory,8,41,21,,708
Gotta Catch 'em Balls!,Substory,8,50,7,,709
The Golden Scourge,Substory,8,43,5,,710
End the Destruction,Substory,8,20,21,,711
Final Showdown the White Knights,Substory,8,47,12,,712
Golden Gauntlet Throwdown,Substory,8,44,6,,713
Vanquish the Black Swallowtails,Substory,8,48,21,,714
Final Showdown the Black Swallowtails,Substory,8,49,11,,715
A Dental Dilemma,Akame Quest,14,19,5,3,716
My Best Ball,Akame Quest,14,2,6,3,717
Kickin' the Habit,Akame Quest,14,18,5,3,718
A Priceless Autograph,Akame Quest,14,22,5,3,719
You Saw Nothing,Akame Quest,14,23,6,3,720
Catch That Crawdad,Akame Quest,14,85,5,3,721
The Waterlogged Ring,Akame Quest,14,21,5,3,722
Not Just a Hat,Akame Quest,14,20,5,3,723
The Dad Hunter,Akame Combat,14,40,5,3,724
I Want a Convenience Store Bento!,Akame Fetch,14,49,4,3,725
Today's a Boozin Day,Akame Fetch,14,47,4,3,726
Somethin' for the Pain,Akame Fetch,14,48,4,3,727
Tissue  Wipes  Anything!,Akame Fetch,14,13,4,3,728
Those Damn Smartphones!,Akame Combat,14,3,5,3,729
When Will I Taste Okonomiyaki!?,Akame Fetch,14,1,5,3,730
Takoyaki on the Brain,Akame Fetch,14,11,4,3,731
Have Mercy Give Food!,Akame Fetch,14,46,4,3,732
"Sing Me ""Sayonara  Silent Night""",Akame Trial,14,83,5,2,733
"Let's Hear ""Shin Ichizu Samurai""!",Akame Trial,14,84,5,2,734
Protectors of My Ego,Akame Combat,14,41,5,3,735
Hungry Hungry Bento,Akame Fetch,14,10,4,3,736
In Need of Absorption,Akame Fetch,14,12,4,3,737
A Friendly Game of Darts,Akame Trial,14,77,5,3,738
Desperate for Staminan Light,Akame Fetch,14,9,4,3,739
An Egg-cellent Idea,Akame Fetch,14,54,4,3,740
The Luxury Yakiniku Bento Dream,Akame Fetch,14,56,4,3,741
If Only I Had an Energy Drink...,Akame Fetch,14,50,4,3,742
Hunting the Homeless,Akame Combat,14,42,5,3,743
Desperate for Takoyaki,Akame Fetch,14,52,4,3,744
A Certain Taiyaki Brand,Akame Fetch,14,51,4,3,745
Hungry For Sushi,Akame Fetch,14,57,4,3,746
Osaka's Famous Clown,Akame Photo,14,25,6,3,747
Order of Oden,Akame Fetch,14,60,4,3,748
Challenge to the Informant #1,Akame Trial,14,67,3,2,749
Real-Deal Okonomiyaki,Akame Fetch,14,53,4,3,750
Crush the Collector,Akame Combat,14,44,5,3,751
Never Forget Four Shine,Akame Photo,14,6,5,3,752
Find the Flying Takoyaki!,Akame Photo,14,28,6,3,753
Calm My Nerves and Find My Car!,Akame Photo,14,27,6,3,754
In Need of a UFO Catcher,Akame Fetch,14,5,5,3,755
Can Anyone Conquer the UFO Catcher!?,Akame Fetch,14,74,4,3,756
Kitty Kat  Come Home,Akame Fetch,14,14,4,3,757
I need... uh  help!,Akame Combat,14,45,5,3,758
Until Next Time!,Akame Combat,14,43,5,3,759
Challenge the Informant #2,Akame Trial,14,68,3,2,760
Taking the Blame,Akame Combat,14,8,5,3,761
Complete a 1-Shot Challenge on Easy!,Akame Trial,14,75,5,3,762
Pinin' For Pine Candy,Akame Fetch,14,61,4,3,763
That Tantalizing Tauriner!,Akame Fetch,14,59,4,3,764
Up For an Azuki Bar,Akame Fetch,14,58,4,3,765
Challenge to the Informant #3,Akame Trial,14,69,3,3,766
I'll Die Before I Let You In!,Akame Combat,14,36,5,3,767
A Quest for Ono Michio,Akame Fetch,14,15,4,3,768
"Show Me Kids Playing ""Pocket Circuit""",Akame Photo,14,30,6,3,769
Turning the Tables,Akame Combat,14,33,5,3,770
Find the Terrifying Beings!,Akame Photo,14,29,6,3,771
Four Golf Bingos!,Akame Trial,14,78,5,3,772
The Trendy Thug,Akame Combat,14,32,5,3,773
Turn That Frown Upside Down  Clown,Akame Outfit,14,63,4,3,774
Where is My Son?,Akame Trial,14,4,5,3,775
Challenge to the Informant #4,Akame Trial,14,70,3,2,776
A Negative Exposure,Akame Combat,14,34,5,3,777
Turn Out Your Pockets,Akame Combat,14,37,5,3,778
The Hidden One's Challenge,Akame Trial,14,87,5,3,779
A Yakuza Never Forgets,Akame Combat,14,35,5,3,780
Photograph the Boat Guy,Akame Photo,14,31,6,3,781
Complete a 1-Shot Challenge on Normal!,Akame Trial,14,76,5,3,782
Chicken Chase,Akame Trial,14,86,5,3,783
Challenge to the Informant #5,Akame Trial,14,71,3,3,784
How 'Bout Them Kappas,Akame Trial,14,90,5,3,785
The Hidden One's Revenge,Akame Trial,14,88,5,3,786
Find the Cute Cafe!,Akame Photo,14,73,6,3,787
The Hidden One's Last Stand,Akame Trial,14,89,5,3,788
Please Model for Me!,Akame Outfit,14,7,5,3,789
The Outfit from My Memories,Akame Outfit,14,62,4,3,790
A Taste of Kabuki,Akame Outfit,14,64,4,3,791
A Stubborn Customer,Akame Combat,14,38,5,3,792
Time's a Luxury,Akame Fetch,14,16,4,3,793
In Search of Star-Crossed Earings,Akame Fetch,14,17,4,3,794
