KEY,ITEM,LOCATION
6271,5922,1
6272,,2
6273,6211,3
6274,6050,4
6275,,5
6276,5366,6
6277,,7
6278,6072,8
6279,,9
6280,,10
6281,5995,11
6282,4867,12
6283,5521,13
6284,,14
6285,5916,15
6286,4861,16
6287,6200,17
6288,4796,18
6289,6126,19
6290,5950,20
6291,5512,21
6292,5512,22
6293,4784,23
6294,4852,24
6295,,25
6296,5569,26
6297,5961,27
6298,6130,28
6299,,29
6300,5324,30
6301,5368,31
6302,6162,32
6303,5372,33
6304,6197,34
6305,6065,35
6306,5498,36
6307,5922,37
6308,5979,38
6309,,39
6310,5711,40
6311,5844,41
6312,6218,42
6313,5574,43
6314,4786,44
6315,6171,45
6316,,46
6317,5969,47
6318,,48
6319,5579,49
6320,4764,50
6321,5448,51
6322,,52
6323,,53
6324,5574,54
6325,6123,55
6326,,56
6327,6129,57
6328,6060,58
6329,5323,59
6330,5736,60
6331,6210,61
6332,5990,62
6333,5442,63
6334,,64
6335,6155,65
6336,,66
6337,6242,67
6338,5843,68
6339,5940,69
6340,,70
6341,6064,71
6342,,72
6343,6189,73
6344,,74
6345,4785,75
6346,5915,76
6347,,77
6348,6151,78
6349,5925,79
6350,5730,80
6351,,81
6352,,82
6353,5734,83
6354,,84
6355,4794,85
6356,5328,86
6357,6013,87
6358,4798,88
6359,,89
6360,,90
6361,5434,91
6362,4820,92
6363,6088,93
6364,,94
6365,6092,95
6366,,96
6367,4768,97
6368,5732,98
6369,5727,99
6370,,100
6371,,101
6372,,102
6373,5574,103
6374,5728,104
6375,,105
6376,5372,106
6377,,107
6378,,108
6379,,109
6380,,110
6381,6087,111
6382,6047,112
6383,,113
6384,6017,114
6385,6012,115
6386,5729,116
6387,5502,117
6388,5733,118
6389,,119
6390,,120
6391,,121
6392,5995,122
6393,4772,123
6394,,124
6395,5507,125
6396,5369,126
6397,,127
6398,4811,128
6399,4815,129
6400,6232,130
6401,6103,131
6402,,132
6403,,133
6404,,134
6405,,135
6406,4832,136
6407,4851,137
6408,6194,138
6409,6188,139
6410,,140
6411,,141
6412,6201,142
6413,5513,143
6414,,144
6415,5325,145
6416,5447,146
6417,,147
6418,6043,148
6419,5845,149
6420,6118,150
6421,4848,151
6422,5708,152
6423,,153
6424,6091,154
6425,4816,155
6426,,156
6427,5512,157
6428,5445,158
6429,6159,159
6430,,160
6431,,161
6432,5710,162
6433,6039,163
6434,5953,164
6435,,165
6436,5575,166
6437,5502,167
6438,5725,168
6439,5326,169
6440,4868,170
6441,,171
6442,6134,172
6443,5446,173
6444,,174
6445,6007,175
6446,5712,176
6447,5710,177
6448,5960,178
6449,5502,179
6450,5498,180
6451,5843,181
6452,5374,182
6453,5914,183
6454,6214,184
6455,5947,185
6456,5373,186
6457,6053,187
6458,6139,188
6459,5508,189
6460,,190
6461,6068,191
6462,6149,192
6463,6209,193
6464,4803,194
6465,,195
6466,,196
6467,4856,197
6468,6022,198
6469,,199
6470,6113,200
6471,,201
6472,5957,202
6473,5441,203
6474,5512,204
6475,,205
6476,4853,206
6477,,207
6478,,208
6479,,209
6480,,210
6481,6183,211
6482,4830,212
6483,5967,213
6484,,214
6485,4837,215
6486,,216
6487,4793,217
6488,,218
6489,5506,219
6490,5735,220
6491,4814,221
6492,6049,222
6493,5446,223
6494,5568,224
6495,,225
6496,5515,226
6497,5574,227
6498,5732,228
6499,,229
6500,,230
6501,,231
6502,5326,232
6503,5515,233
6504,,234
6505,5578,235
6506,,236
6507,5737,237
6508,,238
6509,4866,239
6510,5515,240
6511,5914,241
6512,5371,242
6513,5915,243
6514,6233,244
6515,5434,245
6516,5968,246
6517,,247
6518,6145,248
6519,5326,249
6520,,250
6521,5521,251
6522,,252
6523,6044,253
6524,5323,254
6525,6154,255
6526,5731,256
6527,5326,257
6528,6013,258
6529,,259
6530,,260
6531,6222,261
6532,4789,262
6533,5439,263
6534,5976,264
6535,,265
6536,6219,266
6537,5450,267
6538,,268
6539,5726,269
6540,,270
6541,5725,271
6542,,272
6543,5962,273
6544,6004,274
6545,5515,275
6546,,276
6547,6254,277
6548,4818,278
6549,6034,279
6550,6079,280
6551,4774,281
6552,6182,282
6553,4757,283
6554,,284
6555,,285
6556,6105,286
6557,,287
6558,5931,288
6559,,289
6560,6074,290
6561,5326,291
6562,4850,292
6563,5711,293
6564,5512,294
6565,6208,295
6566,5734,296
6567,6013,297
6568,5914,298
6569,5435,299
6570,5991,300
6571,6230,301
6572,5536,302
6573,5725,303
6574,5579,304
6575,5965,305
6576,,306
6577,5499,307
6578,,308
6579,,309
6580,5982,310
6581,,311
6582,,312
6583,5327,313
6584,,314
6585,4783,315
6586,5924,316
6587,,317
6588,,318
6589,6018,334
6590,5498,335
6591,,336
6592,5555,337
6593,4825,338
6594,6055,339
6595,6196,340
6596,6041,341
6597,,342
6598,,343
6599,5324,344
6600,5940,345
6601,4763,346
6602,6003,347
6603,,348
6604,,349
6605,5370,350
6606,,351
6607,5924,352
6608,,353
6609,5976,354
6610,6013,355
6611,4756,356
6612,4840,357
6613,6120,358
6614,5843,359
6615,6111,360
6616,6231,361
6617,5441,362
6618,6045,363
6619,,364
6620,,370
6621,,371
6622,6249,372
6623,6045,373
6624,,374
6625,6227,375
6626,,376
6627,5510,377
6628,,378
6629,,379
6630,5725,380
6631,4864,381
6632,5971,382
6633,5430,383
6634,5438,384
6635,6108,385
6636,,386
6637,6021,387
6638,4831,388
6639,6141,389
6640,4807,390
6641,,391
6642,4799,392
6643,,393
6644,,394
6645,5445,395
6646,5963,396
6647,5574,397
6648,,398
6649,,399
6650,6086,400
6651,6225,401
6652,4780,402
6653,6021,403
6654,5710,404
6655,,405
6656,,406
6657,5843,407
6658,6220,408
6659,6178,409
6660,5327,410
6661,,411
6662,6042,412
6663,5546,413
6664,,414
6665,5737,415
6666,5575,416
6667,5845,417
6668,5499,418
6669,4824,419
6670,5504,420
6671,,421
6672,,422
6673,6247,423
6674,5517,424
6675,,425
6676,,426
6677,,427
6678,4779,428
6679,5728,429
6680,4849,430
6681,5966,431
6682,6116,432
6683,5517,433
6684,5709,434
6685,,435
6686,6177,436
6687,5556,437
6688,,438
6689,6112,439
6690,,440
6691,6246,441
6692,5577,442
6693,5932,443
6694,6205,444
6695,,445
6696,4762,446
6697,,447
6698,4858,448
6699,,449
6700,6243,450
6701,5497,451
6702,,452
6703,4862,453
6704,6256,454
6705,,455
6706,,456
6707,,457
6708,,458
6709,,459
6710,5924,460
6711,5916,461
6712,4788,462
6713,5576,463
6714,,464
6715,6127,465
6716,,466
6717,5726,467
6718,,468
6719,6012,469
6720,5430,471
6721,4755,472
6722,,473
6723,6169,474
6724,,475
6725,6251,476
6726,5708,477
6727,,478
6728,,479
6729,,480
6730,,481
6731,6081,482
6732,6223,483
6733,,484
6734,,485
6735,,486
6736,,487
6737,,488
6738,5944,489
6739,5941,650
